Group member	Inoculation Amount	Time_weeks	Mean paper brightness	Mean soil brightness	Difference	Fraction remained
VL	0 mL	0	122.552	39.406	83.146	1
KF	0 mL	0	161.636	42.261	119.375	1
AH	0 mL	0	179.59	66.196	113.394	1
JR	0 mL	0	197.544	92.986	104.558	1
ES	0 mL	0	153.084	58.022	95.062	1
VL	1 mL	0	132.324	29.893	102.431	1
KF	1 mL	0	160.966	56.324	104.642	1
AH	1 mL	0	179.236	63.3245	115.9115	1
JR	1 mL	0	197.506	96.756	100.75	1
ES	1 mL	0	149.072	54.913	94.159	1
VL	2 mL	0	136.249	42.181	94.068	1
KF	2 mL	0	152.471	40.695	111.776	1
AH	2 mL	0	173.541	69.066	104.475	1
JR	2 mL	0	194.611	95.951	98.66	1
ES	2 mL	0	146.831	50.437	96.394	1
VL	3 mL	0	130.947	39.158	91.789	1
KF	3 mL	0	168.826	53.648	115.178	1
AH	3 mL	0	184.074	66.1495	117.9245	1
JR	3 mL	0	199.322	93.141	106.181	1
ES	3 mL	0	151.996	52.652	99.344	1
VL	0 mL	1	107.301	39.187	68.114	0.819209583
KF	0 mL	1	111.307	35.353	75.954	0.636263874
AH	0 mL	1	159.248	64.347	94.901	0.83691377
JR	0 mL	1	189.352	84.878	104.474	0.999196618
ES	0 mL	1	143.294	46.293	97.001	1.020397214
VL	1 mL	1	113.439	40.096	73.343	0.716023469
KF	1 mL	1	108.108	34.272	73.836	0.70560578
AH	1 mL	1	143.889	56.765	87.124	0.751642417
JR	1 mL	1	182.804	96.823	85.981	0.853409429
ES	1 mL	1	142.384	51.028	91.356	0.970231205
VL	2 mL	1	88.455	19.057	69.398	0.737742909
KF	2 mL	1	109.22	29.775	79.445	0.710751861
AH	2 mL	1	157.199	66.786	90.413	0.865403207
JR	2 mL	1	177.696	78.555	99.141	1.004875329
ES	2 mL	1	139.471	48.038	91.433	0.948534141
VL	3 mL	1	89.005	22.317	66.688	0.726535859
KF	3 mL	1	126.307	41.185	85.122	0.739047388
AH	3 mL	1	159.26	61.849	97.411	0.826045478
JR	3 mL	1	188.88	94.829	94.051	0.885761106
ES	3 mL	1	137.928	47.593	90.335	0.909315107
VL	0 mL	2	101.366	34.188	67.178	0.807952277
AH	0 mL	2	130.307	49.2675	81.0395	0.714671852
ES	0 mL	2	128.239	46.984	81.255	0.854757947
VL	1 mL	2	102.257	20.375	81.882	0.799386904
AH	1 mL	2	123.073	38.57	84.503	0.729030338
ES	1 mL	2	137.034	47.238	89.796	0.953663484
VL	2 mL	2	97.6	22.82	74.78	0.79495684
AH	2 mL	2	127.3995	44.803	82.5965	0.790586265
ES	2 mL	2	136.294	42.394	93.9	0.97412702
VL	3 mL	2	100.229	28.581	71.648	0.780572836
AH	3 mL	2	129.7445	45.215	84.5295	0.716810332
ES	3 mL	2	137.209	45.924	91.285	0.918877839
KF	0 mL	3	141.868	49.389	92.479	0.774693194
AH	0 mL	3	100.4075	29.3285	71.079	0.626832108
JR	0 mL	3	174.589	90.567	84.022	0.803592265
KF	1 mL	3	137.562	49.514	88.048	0.841421227
AH	1 mL	3	127.2085	42.63	84.5785	0.729681697
JR	1 mL	3	167.175	87.236	79.939	0.793439206
KF	2 mL	3	92.755	57.209	35.546	0.318011022
AH	2 mL	3	117.895	37.2665	80.6285	0.771749222
JR	2 mL	3	157.803	95.016	62.787	0.63639773
KF	3 mL	3	102.295	53.246	49.049	0.425853896
AH	3 mL	3	124.6205	41.099	83.5215	0.70826249
JR	3 mL	3	180.187	82.78	97.407	0.917367514
VL	0 mL	4	75.245	22.215	53.03	0.63779376
KF	0 mL	4	160.485	38.572	121.913	1.021260733
AH	0 mL	4	100.4075	29.3285	71.079	0.626832108
JR	0 mL	4	169.684	88.585	81.099	0.775636489
